因子名称,IC均值_P1,Rank_IC均值_P1,ICIR_P1,Group1平均收益_P1,Group2平均收益_P1,Group3平均收益_P1,Group4平均收益_P1,Group5平均收益_P1,多空收益_P1,Sharpe_Ratio_P1,最大回撤_P1,累积收益率_P1,IC均值_P2,Rank_IC均值_P2,ICIR_P2,Group1平均收益_P2,Group2平均收益_P2,Group3平均收益_P2,Group4平均收益_P2,Group5平均收益_P2,多空收益_P2,Sharpe_Ratio_P2,最大回撤_P2,累积收益率_P2
momentum_tsi_6_3,-0.0350748691040539,-0.0473343913110245,-0.1575185142855075,0.0001464703319219,6.939382863028115e-05,4.472458140660629e-07,-5.995196568980496e-05,-8.917108165947338e-05,0.0002356414135814,30.62711652754314,-0.4331597415325296,472.8248848644956,-0.0263162441195757,-0.0374057444059599,-0.1073890149340292,0.0003048131551747,0.0001784765235097,0.0001445728138865,0.0001174857470497,0.0001081166144052,0.0001966965407695,14.620150666428112,-0.7337012744241396,142.231070192976
momentum_updown_ratio_12_48,-0.0198139262369393,-0.0251330896304815,-0.0914656976487566,7.17521739198369e-05,3.0072877176103925e-05,9.792005566448771e-06,-9.506175666037626e-06,-4.236052127095619e-05,0.0001141126951907,15.24285956317124,-0.4665697627364092,18.90240906360281,-0.020699414896541,-0.0284459717230169,-0.0889563334822201,0.0003061373510353,0.0001955655746041,0.0001329633109776,0.0001023048536664,0.0001095533741516,0.0001965839768836,15.140011011574613,-0.532393787418234,143.03678370895344
momentum_vol_price_div_12_48,-0.0154872372337609,-0.0184296693124401,-0.0843490579505209,7.825387342497012e-05,1.5805818139846437e-05,6.576328478584594e-06,2.1509894136354753e-06,-3.896991401591809e-05,0.0001172237874408,17.64528674879208,-0.1931443229769039,20.839580737245587,-0.0102188880682007,-0.0131875148192084,-0.0533598425141334,0.0002179849946695,0.0001655121139623,0.0001623260806576,0.0001497401077144,0.000159447565195,5.8537429474566464e-05,5.436857287900391,-0.7257372168800876,3.9988352294962928
momentum_vol_ratio_18_36,-0.0135250824024286,-0.018643580439817,-0.0675304790560429,7.670353837486184e-05,1.036778317809761e-05,9.78012209587002e-06,-2.4384792483598847e-05,-8.833099989284236e-07,7.758684837379024e-05,10.730934947285728,-0.4711208287574472,7.19297514859999,-0.0142828863464676,-0.0193441412965267,-0.0673175548914561,0.0002411346969412,0.0001983343411243,0.0001410428159009,0.0001325403515342,0.0001482147520802,9.291994486094609e-05,7.806065235415549,-0.7849702605417562,9.519004603669236
momentum_volume_weighted_trend_24,-0.0222291330780546,-0.0290786303169554,-0.0792432870463658,0.0001086406598968,2.1468533765687508e-05,-1.3340725290659022e-06,-2.4058044748360947e-05,-5.021782661230747e-05,0.0001588584865091,18.2778612649583,-0.3720816547953161,60.07008631032968,-0.0241944177702301,-0.0305660343659403,-0.0831990272606341,0.0002857151395978,0.000193331394152,0.0001415561943447,0.0001136282239055,0.0001137480455546,0.0001719670940431,11.921266593885973,-0.6789375794938631,70.63674322626758
oscillator_csrank_pvdiv_36,0.0203914115669394,0.0267240404580783,0.1009124605579102,-4.796572618244972e-05,-8.575306609616733e-06,1.2326734906551318e-05,2.390029282607023e-05,8.667024626309128e-05,0.0001346359724455,18.560437661178423,-0.3173948094199133,32.72901624294418,0.0136167621880271,0.0246256610055845,0.0652831569252278,0.0001663552026481,0.0001686403844984,0.0001390062818468,0.0001613190616747,0.000211075294826,4.47200921779261e-05,3.948440498789844,-0.9183233583137156,2.730745935749721
oscillator_ivr_3_12,0.0278307420782309,0.037424397967979,0.1486029849767,-8.683128741054901e-05,-2.391890241328007e-05,5.250958628453428e-07,6.243869475000553e-05,0.0001292435792663,0.0002160748666769,31.19997800175707,-0.2671096454664218,285.32755640287945,0.0146862253028293,0.0220876697206596,0.0761550391305443,0.0001190644228153,0.0001460393055827,0.0001723074044182,0.0001760678338995,0.0002447174863942,0.0001256530635789,10.857265739256135,-0.544744850950624,23.107999264015756
oscillator_pvda_2_6,-0.0125186184193698,-0.0189687484878904,-0.0545191333333405,6.358142358315251e-05,4.050246897886841e-05,-1.9534251960352408e-07,-2.412071350020912e-05,-6.623440724948556e-06,7.020486430810106e-05,9.650440251398187,-0.3114723808670715,5.962581196495451,-0.0152628932893508,-0.0186669380784098,-0.0653722305509896,0.0002596780414794,0.0001628676261532,0.0001573434707572,0.0001442822777546,0.0001321670767123,0.000127510964767,10.769740947876947,-0.6176945151899952,24.07873155569954
oscillator_rsi_1,-0.0368458480147029,-0.0440009859114487,-0.1676049008204699,0.0001053509280163,4.740081493594495e-05,1.945434796940297e-06,-1.3324144299808298e-05,-6.304434203050261e-05,0.0001683952700468,22.99589272798112,-0.3689674455161074,80.2842553839481,-0.0165280861244932,-0.0207145523465252,-0.0730861868369544,0.0002187669705158,0.0001860105422122,0.0001602151498479,0.0001410924414891,0.0001468150849573,7.195188555848996e-05,6.641927923376225,-0.5069192202247443,5.711021309114544
oscillator_rsi_12,-0.0370100500597266,-0.0518431622754488,-0.1584128463927241,0.0001631493835125,7.726937636000998e-05,-1.543453886072578e-05,-6.120151567802243e-05,-8.647352864039478e-05,0.0002496229121529,31.326655125559824,-0.3919495849451744,678.9367589345466,-0.0264463758837246,-0.0409519423898267,-0.1024982877582576,0.0003109845414213,0.0001556866258602,0.0001148934324374,8.26867168426163e-05,0.0001768696637848,0.0001341148776365,9.53979453979979,-0.8707409295971247,26.453132379407652
oscillator_rsi_2,-0.046981860310732,-0.0590442826116138,-0.2211809058836331,0.0002103749567619,8.366993177517349e-05,8.219134417363015e-06,-8.067850040741718e-05,-0.0001542319814011,0.0003646069381631,49.35069101906499,-0.2215865961886636,14477.119422082238,-0.028155429190134,-0.0377736642651239,-0.1212569201470256,0.0003229255038475,0.0002171794260944,0.0001477886103995,0.0001042341459671,6.492055496921218e-05,0.0002580049488783,20.388791855018184,-0.4555297429214169,742.7574960404688
oscillator_rsi_24,-0.0314827628774529,-0.0460500015916949,-0.1307661076401506,0.000133738461155,7.285877437297023e-05,-1.676545791587367e-05,-6.77969631917378e-05,-5.7387590459933034e-05,0.0001911260516149,23.619416309671035,-0.3983821734020906,143.58448143234412,-0.0208687878400711,-0.037399122734174,-0.0782773340344926,0.0002830648759613,0.0001432646657996,0.0001023963864215,9.05208516713062e-05,0.0002179136453125,6.515123064885922e-05,4.567883585213422,-0.9104121511565348,4.223960636405058
oscillator_rsi_3,-0.0464297342196086,-0.0595056819793824,-0.214228300507005,0.00020297083769,8.219284447303932e-05,1.3570718912013129e-05,-7.900614323561848e-05,-0.0001508790527505,0.0003538498904406,47.09408283900636,-0.2528963877186659,10856.611553238034,-0.0294702664454076,-0.0400238386505094,-0.1240207775854123,0.0003178268191983,0.0002065460982407,0.0001560019810579,0.0001035900030524,7.231669642585092e-05,0.0002455101227724,18.939730329628443,-0.6074095188504837,527.5072057458069
oscillator_rsi_4,-0.0450728008525783,-0.0586827429150829,-0.2047650317803037,0.0001930511718061,8.495329575580309e-05,6.087403983500477e-06,-7.475240881228222e-05,-0.0001396494917639,0.00033270066357,43.83821416905484,-0.2571727652821958,6189.38323787586,-0.0297815074648593,-0.0411602056241475,-0.1231335988869299,0.000317496084235,0.0001975745018925,0.0001449744128669,0.0001114187745568,8.344288649491863e-05,0.0002340531977401,17.71459579542843,-0.6679571643141272,385.82305560332486
oscillator_rsi_48,-0.0247000545413448,-0.0385256333082506,-0.1007753415724203,0.0001172682952711,4.190529162461118e-05,-2.4993218923680907e-05,-4.788785013284456e-05,-3.462008619045443e-05,0.0001518883814615,18.839241894324253,-0.430636902119585,50.688732171496696,-0.0148659008978376,-0.0329534235973458,-0.054611630019189,0.0002385840972245,0.0001426867340653,9.38141366408351e-05,0.0001181761197925,0.0002434894853626,-4.905388138140901e-06,-0.344533996946447,-0.9507635751280084,0.6622840220002639
oscillator_rsi_5,-0.0436533265761748,-0.0577091016118159,-0.1958911568839995,0.0001877866112858,7.693738906080642e-05,7.171028912601221e-06,-6.979684536741307e-05,-0.0001319173500883,0.0003197039613741,41.65753502609823,-0.3116231748296446,4377.870551468447,-0.029765823224798,-0.0417540357502183,-0.1214077873071151,0.0003200334467759,0.0001847097152018,0.0001425746802009,0.0001033468802197,0.0001011914209099,0.000218842025866,16.324413373200105,-0.7131737141896951,255.9815580776702
oscillator_rsi_6,-0.0423336416344946,-0.0564308188739083,-0.1880457233742509,0.000182267725176,7.219998485975402e-05,8.393608496245872e-06,-7.199009500288721e-05,-0.0001208399671991,0.0003031076923752,39.07904076577219,-0.336940523868859,2815.292547696781,-0.0295500833519301,-0.0420459923056373,-0.1192186132645886,0.0003203028236498,0.0001888822897343,0.0001312639787,9.699802233128376e-05,0.0001128123426201,0.0002074904810297,15.273530426504276,-0.7574695507683354,188.19857941641024
